Time,Force,H1,H2,emf
0,-7.196176797,0,0.578,-0.009
0.033334,-34.20620039,0,0.578,-0.004
0.066667,-19.10890266,0,0.578,0.104
0.1,-6.924056448,0,0.578,-0.035
0.133334,-34.18875858,0,0.578,-0.009
0.166667,-18.36248487,0,0.578,0.120
0.2,-6.92196982,0,0.578,-0.004
0.233334,-31.03610501,0,0.578,-0.019
0.266667,-15.98371007,0,0.578,0.125
0.3,-7.062784862,0,0.578,-0.009
0,-0.063630985,0.029,0.577,0.022
0.033333,-25.24119616,0.029,0.577,-0.307
0.066667,-14.6828061,0.029,0.577,0.166
0.1,-0.073404051,0.029,0.577,0.017
0.133333,-23.98956381,0.029,0.577,-0.297
0.166667,-12.67469674,0.029,0.577,0.171
0.2,-0.069655012,0.029,0.577,0.022
0.233333,-24.54336546,0.029,0.577,-0.297
0.266667,-12.66079023,0.029,0.577,0.166
0.3,-0.073810108,0.029,0.577,0.017
0,-0.105723739,0.057,0.575,0.027
0.033334,-25.72707087,0.057,0.575,0.356
0.066667,-14.24448937,0.057,0.575,-0.009
0.1,0.008407747,0.057,0.575,0.037
0.133334,-25.16354993,0.057,0.575,0.356
0.166667,-14.28057253,0.057,0.575,-0.019
0.2,0.125615625,0.057,0.575,0.022
0.233333,-26.82091109,0.057,0.575,0.341
0.266667,-14.70234152,0.057,0.575,-0.040
0.3,0.029508723,0.057,0.575,0.037
0,-0.105723739,0.063,0.5745,0.002
0.033334,-25.72707087,0.063,0.5745,0.331
0.066667,-14.24448937,0.063,0.5745,0.016
0.1,0.008407747,0.063,0.5745,0.012
0.133334,-25.16354993,0.063,0.5745,0.331
0.166667,-14.28057253,0.063,0.5745,0.006
0.2,0.125615625,0.063,0.5745,-0.003
0.233333,-26.82091109,0.063,0.5745,0.316
0.266667,-14.70234152,0.063,0.5745,-0.015
0.3,0.029508723,0.063,0.5745,0.012
0,-7.196176797,0.072,0.573,-0.024
0.033334,-34.20620039,0.072,0.573,-0.019
0.066667,-19.10890266,0.072,0.573,0.119
0.1,-6.924056448,0.072,0.573,-0.050
0.133334,-34.18875858,0.072,0.573,-0.024
0.166667,-18.36248487,0.072,0.573,0.135
0.2,-6.92196982,0.072,0.573,-0.019
0.233334,-31.03610501,0.072,0.573,-0.034
0.266667,-15.98371007,0.072,0.573,0.140
0.3,-7.062784862,0.072,0.573,-0.024
